Number of Trials, Blocksize, MegaTrials/Second, Probability
      1024 ,        8 ,    30.3030 ,  26.27
      1024 ,       32 ,    31.2500 ,  26.76
      1024 ,       64 ,    31.2500 ,  27.44
      1024 ,      128 ,    30.3030 ,  25.78
      4096 ,        8 ,   117.6471 ,  27.15
      4096 ,       32 ,   121.2121 ,  28.08
      4096 ,       64 ,   121.2121 ,  28.69
      4096 ,      128 ,   125.0000 ,  26.05
     16384 ,        8 ,   444.4444 ,  26.79
     16384 ,       32 ,   457.1428 ,  26.06
     16384 ,       64 ,   470.5882 ,  27.77
     16384 ,      128 ,   484.8485 ,  26.97
     65536 ,        8 ,  1374.4966 ,  26.67
     65536 ,       32 ,  1738.5399 ,  26.97
     65536 ,       64 ,  1812.3894 ,  26.93
     65536 ,      128 ,  1868.6132 ,  26.82
    262144 ,        8 ,  2787.3426 ,  26.88
    262144 ,       32 ,  4686.4988 ,  27.04
    262144 ,       64 ,  4943.8743 ,  26.94
    262144 ,      128 ,  5047.4429 ,  27.01
   1048576 ,        8 ,  4067.5274 ,  26.90
   1048576 ,       32 ,  9303.8045 ,  26.90
   1048576 ,       64 , 10119.8271 ,  26.81
   1048576 ,      128 ,  9984.1558 ,  26.81
   2097152 ,        8 ,  4376.0683 ,  26.88
   2097152 ,       32 , 11709.1299 ,  26.82
   2097152 ,       64 , 12093.7441 ,  26.86
   2097152 ,      128 , 12307.2305 ,  26.84
